Interval,GMTIntervalEnd,MTLF,Averaged Actual,BAA
07/17/2026 15:00:00,07/17/2026 20:00:00,4080,,SWPW
07/17/2026 14:00:00,07/17/2026 19:00:00,48116,,SPP
07/17/2026 14:00:00,07/17/2026 19:00:00,4023,,SWPW
07/17/2026 13:00:00,07/17/2026 18:00:00,46542,,SPP
07/17/2026 13:00:00,07/17/2026 18:00:00,3818,,SWPW
07/17/2026 12:00:00,07/17/2026 17:00:00,44681,,SPP
07/17/2026 12:00:00,07/17/2026 17:00:00,3620,,SWPW
07/17/2026 11:00:00,07/17/2026 16:00:00,42634,,SPP
07/17/2026 11:00:00,07/17/2026 16:00:00,3462,,SWPW
07/17/2026 10:00:00,07/17/2026 15:00:00,40444,,SPP
07/17/2026 10:00:00,07/17/2026 15:00:00,3314,,SWPW
07/17/2026 09:00:00,07/17/2026 14:00:00,38339,,SPP
07/17/2026 09:00:00,07/17/2026 14:00:00,3194,,SWPW
07/17/2026 08:00:00,07/17/2026 13:00:00,36358,,SPP
07/17/2026 08:00:00,07/17/2026 13:00:00,3096,,SWPW
07/17/2026 07:00:00,07/17/2026 12:00:00,34875,,SPP
07/17/2026 07:00:00,07/17/2026 12:00:00,3004,,SWPW
07/17/2026 06:00:00,07/17/2026 11:00:00,34092,,SPP
07/17/2026 06:00:00,07/17/2026 11:00:00,2993,,SWPW
07/17/2026 05:00:00,07/17/2026 10:00:00,33726,,SPP
07/17/2026 05:00:00,07/17/2026 10:00:00,3030,,SWPW
07/17/2026 04:00:00,07/17/2026 09:00:00,34038,,SPP
07/17/2026 04:00:00,07/17/2026 09:00:00,3108,,SWPW
07/17/2026 03:00:00,07/17/2026 08:00:00,34810,,SPP
07/17/2026 03:00:00,07/17/2026 08:00:00,3232,,SWPW
07/17/2026 02:00:00,07/17/2026 07:00:00,35971,,SPP
07/17/2026 02:00:00,07/17/2026 07:00:00,3376,,SWPW
07/17/2026 01:00:00,07/17/2026 06:00:00,37596,,SPP
07/17/2026 01:00:00,07/17/2026 06:00:00,3555,,SWPW
07/17/2026 00:00:00,07/17/2026 05:00:00,39608,,SPP
07/17/2026 00:00:00,07/17/2026 05:00:00,3900,,SWPW
07/16/2026 23:00:00,07/17/2026 04:00:00,42134,,SPP
07/16/2026 23:00:00,07/17/2026 04:00:00,4158,,SWPW
07/16/2026 22:00:00,07/17/2026 03:00:00,44310,,SPP
07/16/2026 22:00:00,07/17/2026 03:00:00,4300,,SWPW
07/16/2026 21:00:00,07/17/2026 02:00:00,45988,,SPP
07/16/2026 21:00:00,07/17/2026 02:00:00,4447,,SWPW
07/16/2026 20:00:00,07/17/2026 01:00:00,47769,,SPP
07/16/2026 20:00:00,07/17/2026 01:00:00,4520,,SWPW
07/16/2026 19:00:00,07/17/2026 00:00:00,48955,,SPP
07/16/2026 19:00:00,07/17/2026 00:00:00,4550,,SWPW
07/16/2026 18:00:00,07/16/2026 23:00:00,49511,,SPP
